Attribute,Unsociable,Sociable,Immoral,Moral,Dependent,Independent,Unable,Able
aberrant,False,False,True,False,False,False,False,False
abhorrent,False,False,True,False,False,False,False,False
abject,False,False,False,False,True,False,False,False
able,False,False,False,False,False,False,False,True
abnormal,False,False,True,False,False,False,False,False
abominable,False,False,True,False,False,False,False,False
about,False,False,False,False,False,True,False,False
abrasive,True,False,False,False,False,False,False,False
abstract,False,False,False,False,False,False,False,True
absurd,False,False,False,False,False,False,True,False
accessary,False,True,True,False,False,False,False,False
accessory,False,True,True,False,False,False,False,False
accommodating,False,True,False,False,False,False,False,False
accommodative,False,True,False,False,False,False,False,False
accomplished,False,False,False,False,False,False,False,True
accountable,False,False,False,True,False,False,False,False
accurate,False,False,False,False,False,False,False,True
ace,False,False,False,False,False,False,False,True
acid,True,False,False,False,False,False,False,False
acting,False,False,False,False,False,True,False,False
active,False,False,False,False,False,True,False,False
activist,False,False,False,False,False,True,False,False
actuated,False,False,False,False,False,True,False,False
adaptable,False,False,False,False,False,False,False,True
adept,False,False,False,False,False,False,False,True
adequate,False,False,False,False,False,False,False,True
adjunct,False,True,False,False,False,False,False,False
adjuvant,False,True,False,False,False,False,False,False
adoring,False,True,False,False,False,False,False,False
adrenergic,False,False,False,False,False,True,False,False
adroit,False,False,False,False,False,False,False,True
adventurous,False,False,False,False,False,True,False,False
advisable,False,False,False,False,False,False,False,True
advised,False,False,False,False,False,False,False,True
affable,False,True,False,False,False,False,False,False
affectional,False,True,False,False,False,False,False,False
affectionate,False,True,False,False,False,False,False,False
afflicted,False,False,False,False,False,False,True,False
afraid,False,False,False,False,True,False,False,False
aggressive,True,False,False,False,False,True,False,False
agile,False,False,False,False,False,False,False,True
agreeable,False,True,False,False,False,False,False,False
alert,False,False,False,False,False,True,False,False
alive,False,True,False,False,False,False,False,False
allegiant,False,False,False,True,False,False,False,False
alone,True,False,False,False,False,False,False,False
aloof,True,False,False,False,False,False,False,False
alternate,False,False,False,False,False,False,False,True
altruistic,False,False,False,True,False,False,False,False
amatory,False,True,False,False,False,False,False,False
ambidextrous,False,False,False,False,False,False,False,True
ambitious,False,False,False,False,False,True,False,False
amenable,False,False,False,True,False,False,False,False
amiable,False,True,False,False,False,False,False,False
amicable,False,True,False,False,False,False,False,False
amusing,False,True,False,False,False,False,False,False
analytic,False,False,False,False,False,False,False,True
angelic,False,False,False,True,False,False,False,False
annoying,True,False,False,False,False,False,False,False
answerable,False,False,False,True,False,False,False,False
antagonistic,False,False,True,False,False,False,False,False
antimonopoly,False,False,False,True,False,False,False,False
antipathetic,True,False,True,False,False,False,False,False
antiseptic,False,False,False,True,False,False,False,False
antisocial,True,False,False,False,False,False,False,False
anxious,False,False,False,False,True,False,False,False
apathetic,True,False,False,False,False,False,False,False
appealing,False,True,False,False,False,False,False,False
applicative,False,False,False,False,False,False,False,True
appraising,False,False,False,False,False,False,False,True
appreciative,False,False,False,False,False,False,False,True
approachable,False,True,False,False,False,False,False,False
apt,False,False,False,False,False,False,False,True
arduous,False,False,False,False,False,True,False,False
argumentative,True,False,False,False,False,False,False,False
arrogant,False,False,True,False,False,False,False,False
artful,False,False,True,False,False,False,False,False
artless,False,False,False,True,False,False,False,False
asinine,False,False,False,False,False,False,True,False
asocial,True,False,False,False,False,False,False,False
aspirant,False,False,False,False,False,True,False,False
assailable,False,False,False,False,True,False,False,False
assertive,False,False,False,False,False,True,False,False
assiduous,False,False,False,False,False,True,False,False
assistive,False,True,False,False,False,False,False,False
associate,False,True,False,False,False,False,False,False
assured,False,False,False,False,False,True,False,False
astir,False,False,False,False,False,True,False,False
astute,False,False,False,False,False,False,False,True
athletic,False,False,False,False,False,False,False,True
atrocious,False,False,True,False,False,False,False,False
attached,False,True,False,False,False,False,False,False
attempted,False,False,False,False,False,True,False,False
attentive,False,True,False,False,False,False,False,False
audacious,False,False,False,False,False,True,False,False
august,False,False,False,True,False,False,False,False
autarkic,False,False,False,False,False,True,False,False
authentic,False,False,False,True,False,False,False,False
authoritarian,False,False,True,False,False,True,False,False
autocratic,False,False,False,False,False,True,False,False
autonomous,False,False,False,False,False,True,False,False
auxiliary,False,True,False,False,False,False,False,False
avaricious,False,False,True,False,False,False,False,False
aware,False,False,False,False,False,True,False,False
awful,False,False,True,False,False,False,False,False
awkward,True,False,False,False,False,False,True,False
back,False,True,False,False,False,False,False,False
backward,False,False,False,False,False,False,True,False
bad,False,False,True,False,False,False,False,False
baleful,False,False,True,False,False,False,False,False
ball-hawking,False,False,False,False,False,False,False,True
baneful,False,False,True,False,False,False,False,False
bantering,False,True,False,False,False,False,False,False
barbarous,False,False,True,False,False,False,False,False
base,False,False,True,False,False,False,False,False
bashful,True,False,False,False,False,False,False,False
beastly,True,False,True,False,False,False,False,False
